                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 3.4413,                 3.5716,                 3.9164,                0.00133,                0.28571,                 0.0024,                0.00056,                 3.5269,                 4.2858,                 4.1447,             0.00034428,             0.00034428,             0.00034428
                     81,                 3.3579,                 3.7039,                 3.9177,                0.00133,                0.28571,                0.00224,                0.00058,                 3.5194,                  4.298,                 4.1441,              0.0003328,              0.0003328,              0.0003328
                     82,                  3.071,                 3.5203,                 3.8406,                0.00133,                0.28571,                0.00224,                0.00058,                 3.5194,                  4.298,                 4.1441,             0.00032092,             0.00032092,             0.00032092
                     83,                  2.959,                 3.4482,                 3.7923,                0.00133,                0.28571,                0.00224,                0.00058,                 3.5194,                  4.298,                 4.1441,             0.00030865,             0.00030865,             0.00030865
                     84,                 3.5794,                  3.829,                 3.8914,                0.00133,                0.28571,                0.00242,                0.00061,                 3.5295,                  4.298,                 4.1346,             0.00029598,             0.00029598,             0.00029598
                     85,                 3.1751,                 3.3532,                 3.7845,                0.00133,                0.28571,                0.00242,                0.00061,                 3.5295,                  4.298,                 4.1346,             0.00028291,             0.00028291,             0.00028291
                     86,                 2.9341,                 3.3641,                 3.7586,                0.00133,                0.28571,                0.00242,                0.00061,                 3.5295,                  4.298,                 4.1346,             0.00026945,             0.00026945,             0.00026945
                     87,                 2.8484,                 3.3352,                 3.8056,                0.00133,                0.28571,                0.00242,                0.00061,                 3.5295,                  4.298,                 4.1346,             0.00025559,             0.00025559,             0.00025559
                     88,                  3.086,                 3.6221,                 3.7879,                0.00133,                0.28571,                0.00251,                0.00062,                 3.5448,                 4.3003,                 4.1336,             0.00024134,             0.00024134,             0.00024134
                     89,                 3.0564,                 3.6854,                 3.8316,                0.00133,                0.28571,                0.00251,                0.00062,                 3.5448,                 4.3003,                 4.1336,             0.00022669,             0.00022669,             0.00022669
